CLAVE DE INMUEBLE,TECNOLOGIA INSTALADA,ANCHO DE BANDA CONTRATADO 2014,INSTITUCION,NOMBRE DEL CENTRO,TURNO/HORARIO,NIVEL,REGION,MUNICIPIO,LOCALIDAD,DOMICILIO,CODIGO POSTAL,LONGITUD,LATITUD,ESTATUS
52BI, iMAX,2 MB,GOB,N/D,N/D,N/D,VALLES,COCULA,N/D,N/D,N/D,103 48 17.9  ,20  29 52.4 ,SIN SERVICIO
1407545B,ADSL,10 MB,SEJ,AMIGOS DEL CONOCIMIENTO,DISCONTINUO,INICIAL,CENTRO,GUADALAJARA,GUADALAJARA,ALVARO ALCAZAR 2040,44220,-103.3363611,20.7021139,SUSPENDIDO
1407039K, iMAX,2 MB,SEJ,ELIAS ANDINO VALLARTA,MATUTINO,PRIMARIA,VALLES,EL ARENAL,EL ARENAL,ALLENDE 45,45350,-103.6891611,20.7613833,SIN SERVICIO
1407229K,ADSL,2 MB,SEJ,JOSEFA ORTIZ DE DOMINGUEZ,MATUTINO,PRIMARIA,VALLES,SAN MARTIN HIDALGO,SAN MARTIN DE HIDALGO,SIMON BOLIVAR 21,46770,-103.9288833,20.4376139,SUSPENDIDO
1408307F,ADSL,10 MB,SEJ,IGNACIO M ALTAMIRANO,MATUTINO,PRIMARIA,CENTRO,GUADALAJARA,GUADALAJARA,JOSE MANUEL IGUINIZ 2584,44440,-103.3477222,20.6344917,SUSPENDIDO
1405509X, iMAX,2 MB,SEJ,EMILIANO ZAPATA,MATUTINO,PRIMARIA,SIERRA DE AMULA,TECOLOTLAN,LOS CUARTOS,FELIPE URIBE 5,48540,-103.9354444,20.2675222,SIN SERVICIO
1409802H, iMAX,2 MB,SEJ,VICENTE GUERRERO,MATUTINO,PRIMARIA,CENTRO,ZAPOPAN,ZAPOPAN,"PUERTO MEXICO 099, COL. MIRAMAR",45060,-103.4531667,20.6372222,ACTIVO
1405168B, iMAX,2 MB,SEJ,INDEPENDENCIA,MATUTINO,PREESCOLAR,SUR,ZAPOTILTIC,EL CORTIJO,CONOCIDO,49620,-103.3559833,19.68755,SIN SERVICIO
JCSSA000054,ADSL,2 MB,SSJ,ACATLAN DE JUAREZ,N/D,N/D,CENTRO,ACATLAN DE JUAREZ,ACATLAN DE JUAREZ,JUSTO SIERRA O 6,45700,-103.5911111,20.4205556,SUSPENDIDO
1409226K,ADSL,100 MB,SEJ,LUIS DONALDO COLOSIO MURRIETA,MATUTINO,SECUNDARIA,CENTRO,ZAPOPAN,ZAPOPAN,AV. ACUEDUCTO S/N ,45138,-103.4247,20.7363806,SUSPENDIDO
